,reportdate,Protecting Office,Protecting Office Label,Acres
48,2025-05-03,Kenai-Kodiak Area,KKS,1.4100000000000001
49,2025-05-03,Mat-Su Area,MSS,3.96
50,2025-05-03,Military Zone,MID,0.23
51,2025-05-03,Tongass N.F.,TNF,0.5
52,2025-05-03,Upper Yukon Zone,UYD,0.2
53,2025-05-04,Delta Area,DAS,0.1
54,2025-05-04,Kenai-Kodiak Area,KKS,1.51
55,2025-05-04,Mat-Su Area,MSS,3.96
56,2025-05-04,Military Zone,MID,0.05
57,2025-05-04,Tongass N.F.,TNF,0.5
58,2025-05-04,Upper Yukon Zone,UYD,0.2
59,2025-05-05,Copper River Area,CRS,0.1
60,2025-05-05,Delta Area,DAS,0.1
61,2025-05-05,Kenai-Kodiak Area,KKS,1.52
62,2025-05-05,Mat-Su Area,MSS,3.96
63,2025-05-05,Military Zone,MID,0.05
64,2025-05-05,Tongass N.F.,TNF,0.5
65,2025-05-05,Upper Yukon Zone,UYD,0.2
66,2025-05-06,Copper River Area,CRS,0.1
67,2025-05-06,Delta Area,DAS,0.1
68,2025-05-06,Kenai-Kodiak Area,KKS,1.52
69,2025-05-06,Mat-Su Area,MSS,3.9600000000000004
70,2025-05-06,Military Zone,MID,0.5
71,2025-05-06,Tongass N.F.,TNF,0.5
72,2025-05-06,Upper Yukon Zone,UYD,0.2
73,2025-05-07,Copper River Area,CRS,0.1
74,2025-05-07,Delta Area,DAS,0.1
75,2025-05-07,Kenai-Kodiak Area,KKS,1.52
76,2025-05-07,Mat-Su Area,MSS,3.96
77,2025-05-07,Military Zone,MID,0.6000000000000001
78,2025-05-07,Tongass N.F.,TNF,0.5
79,2025-05-07,Upper Yukon Zone,UYD,0.2
80,2025-05-08,Copper River Area,CRS,0.1
81,2025-05-08,Delta Area,DAS,0.1
82,2025-05-08,Kenai-Kodiak Area,KKS,1.52
83,2025-05-08,Mat-Su Area,MSS,3.96
84,2025-05-08,Military Zone,MID,0.52
85,2025-05-08,Tongass N.F.,TNF,0.5
86,2025-05-08,Upper Yukon Zone,UYD,0.2
87,2025-05-12,Copper River Area,CRS,0.1
88,2025-05-12,Delta Area,DAS,0.1
89,2025-05-12,Fairbanks Area,FAS,0.6000000000000001
90,2025-05-12,Kenai-Kodiak Area,KKS,2.3200000000000003
91,2025-05-12,Mat-Su Area,MSS,3.96
92,2025-05-12,Military Zone,MID,0.6000000000000001
93,2025-05-12,Tongass N.F.,TNF,0.5
94,2025-05-12,Upper Yukon Zone,UYD,0.8600000000000001
95,2025-05-13,Copper River Area,CRS,0.1
96,2025-05-13,Delta Area,DAS,0.1
97,2025-05-13,Fairbanks Area,FAS,0.7000000000000001
98,2025-05-13,Kenai-Kodiak Area,KKS,2.32
99,2025-05-13,Mat-Su Area,MSS,3.96
100,2025-05-13,Military Zone,MID,0.6000000000000001
101,2025-05-13,Tongass N.F.,TNF,0.5
102,2025-05-13,Upper Yukon Zone,UYD,0.8600000000000001
103,2025-05-15,Copper River Area,CRS,0.1
104,2025-05-15,Delta Area,DAS,0.1
105,2025-05-15,Fairbanks Area,FAS,1.06
106,2025-05-15,Kenai-Kodiak Area,KKS,2.62
107,2025-05-15,Mat-Su Area,MSS,4.0600000000000005
108,2025-05-15,Military Zone,MID,0.6000000000000001
109,2025-05-15,Tanana Zone,TAD,0.01
110,2025-05-15,Tongass N.F.,TNF,0.5
111,2025-05-15,Upper Yukon Zone,UYD,0.8600000000000001
112,2025-05-16,Chugach N.F.,CGF,0.1
113,2025-05-16,Copper River Area,CRS,0.1
114,2025-05-16,Delta Area,DAS,0.1
115,2025-05-16,Fairbanks Area,FAS,1.06
116,2025-05-16,Kenai-Kodiak Area,KKS,2.62
117,2025-05-16,Mat-Su Area,MSS,4.06
118,2025-05-16,Military Zone,MID,0.61
119,2025-05-16,Tanana Zone,TAD,0.01
120,2025-05-16,Tongass N.F.,TNF,0.5
121,2025-05-16,Upper Yukon Zone,UYD,0.8600000000000001
122,2025-05-19,Chugach N.F.,CGF,0.1
123,2025-05-19,Copper River Area,CRS,0.1
124,2025-05-19,Delta Area,DAS,0.1
125,2025-05-19,Fairbanks Area,FAS,1.74
126,2025-05-19,Kenai-Kodiak Area,KKS,2.72
127,2025-05-19,Mat-Su Area,MSS,4.0600000000000005
128,2025-05-19,Military Zone,MID,0.7000000000000001
129,2025-05-19,Tanana Zone,TAD,0.01
130,2025-05-19,Tok Area,TAS,0.1
131,2025-05-19,Tongass N.F.,TNF,0.7000000000000001
132,2025-05-19,Upper Yukon Zone,UYD,25.959999999999997
133,2025-05-20,Chugach N.F.,CGF,0.1
134,2025-05-20,Copper River Area,CRS,0.1
135,2025-05-20,Delta Area,DAS,0.1
136,2025-05-20,Fairbanks Area,FAS,1.74
137,2025-05-20,Kenai-Kodiak Area,KKS,2.72
138,2025-05-20,Mat-Su Area,MSS,4.16
139,2025-05-20,Military Zone,MID,0.61
140,2025-05-20,Tanana Zone,TAD,0.01
141,2025-05-20,Tok Area,TAS,0.1
142,2025-05-20,Tongass N.F.,TNF,0.7000000000000001
143,2025-05-20,Upper Yukon Zone,UYD,25.95
144,2025-05-21,Chugach N.F.,CGF,0.1
145,2025-05-21,Copper River Area,CRS,0.1
146,2025-05-21,Delta Area,DAS,0.1
147,2025-05-21,Fairbanks Area,FAS,1.74
148,2025-05-21,Kenai-Kodiak Area,KKS,2.72
149,2025-05-21,Mat-Su Area,MSS,4.36
150,2025-05-21,Military Zone,MID,0.61
151,2025-05-21,Tanana Zone,TAD,0.01
152,2025-05-21,Tok Area,TAS,0.1
153,2025-05-21,Tongass N.F.,TNF,0.7000000000000001
154,2025-05-21,Upper Yukon Zone,UYD,25.95
155,2025-05-22,Chugach N.F.,CGF,0.1
156,2025-05-22,Copper River Area,CRS,0.1
157,2025-05-22,Delta Area,DAS,0.1
158,2025-05-22,Fairbanks Area,FAS,1.74
159,2025-05-22,Kenai-Kodiak Area,KKS,2.72
160,2025-05-22,Mat-Su Area,MSS,4.36
161,2025-05-22,Military Zone,MID,0.61
162,2025-05-22,Tanana Zone,TAD,0.01
163,2025-05-22,Tok Area,TAS,0.1
164,2025-05-22,Tongass N.F.,TNF,0.7000000000000001
165,2025-05-22,Upper Yukon Zone,UYD,25.95
166,2025-05-23,Chugach N.F.,CGF,0.1
167,2025-05-23,Copper River Area,CRS,0.1
168,2025-05-23,Delta Area,DAS,0.1
169,2025-05-23,Fairbanks Area,FAS,1.84
170,2025-05-23,Kenai-Kodiak Area,KKS,2.72
171,2025-05-23,Mat-Su Area,MSS,4.36
172,2025-05-23,Military Zone,MID,0.61
173,2025-05-23,Tanana Zone,TAD,0.01
174,2025-05-23,Tok Area,TAS,0.1
175,2025-05-23,Tongass N.F.,TNF,0.7000000000000001
176,2025-05-23,Upper Yukon Zone,UYD,25.95
177,2025-05-24,Chugach N.F.,CGF,0.1
178,2025-05-24,Copper River Area,CRS,0.1
179,2025-05-24,Delta Area,DAS,0.1
180,2025-05-24,Fairbanks Area,FAS,1.84
181,2025-05-24,Kenai-Kodiak Area,KKS,3.8400000000000003
182,2025-05-24,Mat-Su Area,MSS,4.36
183,2025-05-24,Military Zone,MID,0.61
184,2025-05-24,Tanana Zone,TAD,0.01
185,2025-05-24,Tok Area,TAS,0.1
186,2025-05-24,Tongass N.F.,TNF,0.7000000000000001
187,2025-05-24,Upper Yukon Zone,UYD,25.95
188,2025-05-25,Chugach N.F.,CGF,0.1
189,2025-05-25,Copper River Area,CRS,0.1
190,2025-05-25,Delta Area,DAS,0.1
191,2025-05-25,Fairbanks Area,FAS,2.04
192,2025-05-25,Kenai-Kodiak Area,KKS,5.44
193,2025-05-25,Mat-Su Area,MSS,4.46
194,2025-05-25,Military Zone,MID,0.61
195,2025-05-25,Tanana Zone,TAD,0.01
196,2025-05-25,Tok Area,TAS,0.1
197,2025-05-25,Tongass N.F.,TNF,0.7000000000000001
198,2025-05-25,Upper Yukon Zone,UYD,625.95
199,2025-05-27,Chugach N.F.,CGF,0.1
200,2025-05-27,Copper River Area,CRS,0.1
201,2025-05-27,Delta Area,DAS,0.1
202,2025-05-27,Fairbanks Area,FAS,2.04
203,2025-05-27,Kenai-Kodiak Area,KKS,5.44
204,2025-05-27,Mat-Su Area,MSS,4.46
205,2025-05-27,Military Zone,MID,0.61
206,2025-05-27,Tanana Zone,TAD,0.01
207,2025-05-27,Tongass N.F.,TNF,0.7000000000000001
208,2025-05-27,Upper Yukon Zone,UYD,625.95
209,2025-05-28,Chugach N.F.,CGF,0.1
210,2025-05-28,Copper River Area,CRS,0.1
211,2025-05-28,Delta Area,DAS,0.1
212,2025-05-28,Fairbanks Area,FAS,2.09
213,2025-05-28,Galena Zone,GAD,34.58
214,2025-05-28,Kenai-Kodiak Area,KKS,5.79
215,2025-05-28,Mat-Su Area,MSS,4.46
216,2025-05-28,Military Zone,MID,0.61
217,2025-05-28,Tanana Zone,TAD,0.01
218,2025-05-28,Tongass N.F.,TNF,0.7000000000000001
219,2025-05-28,Upper Yukon Zone,UYD,625.9499999999999
220,2025-05-29,Chugach N.F.,CGF,0.1
221,2025-05-29,Copper River Area,CRS,0.1
222,2025-05-29,Delta Area,DAS,0.1
223,2025-05-29,Fairbanks Area,FAS,2.04
224,2025-05-29,Galena Zone,GAD,34.58
225,2025-05-29,Kenai-Kodiak Area,KKS,5.79
226,2025-05-29,Mat-Su Area,MSS,4.46
227,2025-05-29,Military Zone,MID,0.08
228,2025-05-29,Tanana Zone,TAD,0.01
229,2025-05-29,Tongass N.F.,TNF,0.7000000000000001
230,2025-05-29,Upper Yukon Zone,UYD,1034.88
231,2025-05-30,Chugach N.F.,CGF,0.1
232,2025-05-30,Copper River Area,CRS,0.1
233,2025-05-30,Delta Area,DAS,0.1
234,2025-05-30,Fairbanks Area,FAS,2.04
235,2025-05-30,Galena Zone,GAD,34.58
236,2025-05-30,Kenai-Kodiak Area,KKS,5.79
237,2025-05-30,Mat-Su Area,MSS,4.47
238,2025-05-30,Military Zone,MID,0.08
239,2025-05-30,Tanana Zone,TAD,0.01
240,2025-05-30,Tongass N.F.,TNF,0.7000000000000001
241,2025-05-30,Upper Yukon Zone,UYD,1034.9399999999998
242,2025-05-31,Chugach N.F.,CGF,0.1
243,2025-05-31,Copper River Area,CRS,0.1
244,2025-05-31,Delta Area,DAS,0.1
245,2025-05-31,Fairbanks Area,FAS,2.04
246,2025-05-31,Galena Zone,GAD,34.58
247,2025-05-31,Kenai-Kodiak Area,KKS,5.79
248,2025-05-31,Mat-Su Area,MSS,4.470000000000001
249,2025-05-31,Military Zone,MID,0.08
250,2025-05-31,Tanana Zone,TAD,0.01
251,2025-05-31,Tongass N.F.,TNF,0.7000000000000001
252,2025-05-31,Upper Yukon Zone,UYD,1034.94
253,2025-06-01,Chugach N.F.,CGF,0.1
254,2025-06-01,Copper River Area,CRS,0.1
255,2025-06-01,Delta Area,DAS,0.1
256,2025-06-01,Fairbanks Area,FAS,2.04
257,2025-06-01,Galena Zone,GAD,34.58
258,2025-06-01,Kenai-Kodiak Area,KKS,5.79
259,2025-06-01,Mat-Su Area,MSS,4.47
260,2025-06-01,Military Zone,MID,0.08
261,2025-06-01,Tanana Zone,TAD,0.01
262,2025-06-01,Tongass N.F.,TNF,0.7000000000000001
263,2025-06-01,Upper Yukon Zone,UYD,1034.9399999999998
264,2025-06-02,Chugach N.F.,CGF,0.1
265,2025-06-02,Copper River Area,CRS,0.1
266,2025-06-02,Delta Area,DAS,0.1
267,2025-06-02,Fairbanks Area,FAS,2.04
268,2025-06-02,Galena Zone,GAD,34.58
269,2025-06-02,Kenai-Kodiak Area,KKS,5.79
270,2025-06-02,Mat-Su Area,MSS,4.47
271,2025-06-02,Military Zone,MID,0.08
272,2025-06-02,Tanana Zone,TAD,0.01
273,2025-06-02,Tongass N.F.,TNF,0.7000000000000001
274,2025-06-02,Upper Yukon Zone,UYD,1034.9399999999998
275,2025-06-04,Chugach N.F.,CGF,0.1
276,2025-06-04,Copper River Area,CRS,0.2
277,2025-06-04,Delta Area,DAS,0.1
278,2025-06-04,Fairbanks Area,FAS,4.24
279,2025-06-04,Galena Zone,GAD,34.58
280,2025-06-04,Kenai-Kodiak Area,KKS,5.79
281,2025-06-04,Mat-Su Area,MSS,4.470000000000001
282,2025-06-04,Military Zone,MID,0.08
283,2025-06-04,Tanana Zone,TAD,0.01
284,2025-06-04,Tongass N.F.,TNF,0.7000000000000001
285,2025-06-04,Upper Yukon Zone,UYD,1034.9399999999998
286,2025-06-05,Chugach N.F.,CGF,0.1
287,2025-06-05,Copper River Area,CRS,0.2
288,2025-06-05,Delta Area,DAS,0.1
289,2025-06-05,Fairbanks Area,FAS,4.24
290,2025-06-05,Galena Zone,GAD,34.58
291,2025-06-05,Kenai-Kodiak Area,KKS,5.79
292,2025-06-05,Mat-Su Area,MSS,4.87
293,2025-06-05,Military Zone,MID,0.08
294,2025-06-05,Tanana Zone,TAD,0.01
295,2025-06-05,Tongass N.F.,TNF,0.7000000000000001
296,2025-06-05,Upper Yukon Zone,UYD,1034.94
297,2025-06-06,Chugach N.F.,CGF,0.1
298,2025-06-06,Copper River Area,CRS,0.2
299,2025-06-06,Delta Area,DAS,0.1
300,2025-06-06,Fairbanks Area,FAS,4.24
301,2025-06-06,Galena Zone,GAD,34.58
302,2025-06-06,Kenai-Kodiak Area,KKS,5.79
303,2025-06-06,Mat-Su Area,MSS,4.87
304,2025-06-06,Military Zone,MID,0.08
305,2025-06-06,Tanana Zone,TAD,0.01
306,2025-06-06,Tongass N.F.,TNF,0.7000000000000001
307,2025-06-06,Upper Yukon Zone,UYD,1034.94
308,2025-06-07,Chugach N.F.,CGF,1.1
309,2025-06-07,Copper River Area,CRS,0.2
310,2025-06-07,Delta Area,DAS,0.1
311,2025-06-07,Fairbanks Area,FAS,12.24
312,2025-06-07,Galena Zone,GAD,34.68
313,2025-06-07,Kenai-Kodiak Area,KKS,5.890000000000001
314,2025-06-07,Mat-Su Area,MSS,4.87
315,2025-06-07,Military Zone,MID,0.08
316,2025-06-07,Tanana Zone,TAD,0.01
317,2025-06-07,Tok Area,TAS,0.1
318,2025-06-07,Tongass N.F.,TNF,0.7000000000000001
319,2025-06-07,Upper Yukon Zone,UYD,1034.94
320,2025-06-08,Chugach N.F.,CGF,1.1
321,2025-06-08,Copper River Area,CRS,0.2
322,2025-06-08,Delta Area,DAS,0.1
323,2025-06-08,Fairbanks Area,FAS,12.24
324,2025-06-08,Galena Zone,GAD,34.68
325,2025-06-08,Kenai-Kodiak Area,KKS,5.890000000000001
326,2025-06-08,Mat-Su Area,MSS,4.87
327,2025-06-08,Military Zone,MID,0.08
328,2025-06-08,Tanana Zone,TAD,0.01
329,2025-06-08,Tok Area,TAS,0.1
330,2025-06-08,Tongass N.F.,TNF,0.7000000000000001
331,2025-06-08,Upper Yukon Zone,UYD,1034.9399999999998
332,2025-06-09,Chugach N.F.,CGF,1.1
333,2025-06-09,Copper River Area,CRS,0.2
334,2025-06-09,Delta Area,DAS,0.1
335,2025-06-09,Fairbanks Area,FAS,12.24
336,2025-06-09,Galena Zone,GAD,34.58
337,2025-06-09,Kenai-Kodiak Area,KKS,5.79
338,2025-06-09,Mat-Su Area,MSS,4.87
339,2025-06-09,Military Zone,MID,0.08
340,2025-06-09,Tanana Zone,TAD,0.01
341,2025-06-09,Tok Area,TAS,0.1
342,2025-06-09,Tongass N.F.,TNF,0.7000000000000001
343,2025-06-09,Upper Yukon Zone,UYD,1034.9399999999998
344,2025-06-10,Chugach N.F.,CGF,1.1
345,2025-06-10,Copper River Area,CRS,0.2
346,2025-06-10,Delta Area,DAS,0.1
347,2025-06-10,Fairbanks Area,FAS,12.24
348,2025-06-10,Galena Zone,GAD,34.58
349,2025-06-10,Kenai-Kodiak Area,KKS,5.79
350,2025-06-10,Mat-Su Area,MSS,4.970000000000001
351,2025-06-10,Military Zone,MID,0.08
352,2025-06-10,Tanana Zone,TAD,0.0137741
353,2025-06-10,Tok Area,TAS,0.1
354,2025-06-10,Tongass N.F.,TNF,0.7000000000000001
355,2025-06-10,Upper Yukon Zone,UYD,1034.94
356,2025-06-11,Chugach N.F.,CGF,1.1
357,2025-06-11,Copper River Area,CRS,0.2
358,2025-06-11,Delta Area,DAS,0.1
359,2025-06-11,Fairbanks Area,FAS,12.239999999999998
360,2025-06-11,Galena Zone,GAD,34.58
361,2025-06-11,Kenai-Kodiak Area,KKS,5.79
362,2025-06-11,Mat-Su Area,MSS,5.07
363,2025-06-11,Military Zone,MID,0.18
364,2025-06-11,Tanana Zone,TAD,0.0137741
365,2025-06-11,Tok Area,TAS,0.1
366,2025-06-11,Tongass N.F.,TNF,0.7000000000000001
367,2025-06-11,Upper Yukon Zone,UYD,1034.94
368,2025-06-12,Chugach N.F.,CGF,1.1
369,2025-06-12,Copper River Area,CRS,0.2
370,2025-06-12,Delta Area,DAS,0.6
371,2025-06-12,Fairbanks Area,FAS,12.34
372,2025-06-12,Galena Zone,GAD,34.68
373,2025-06-12,Kenai-Kodiak Area,KKS,5.890000000000001
374,2025-06-12,Mat-Su Area,MSS,5.07
375,2025-06-12,Military Zone,MID,1.08
376,2025-06-12,Tanana Zone,TAD,0.0137741
377,2025-06-12,Tok Area,TAS,0.1
378,2025-06-12,Tongass N.F.,TNF,0.7000000000000001
379,2025-06-12,Upper Yukon Zone,UYD,1034.94
380,2025-06-13,Chugach N.F.,CGF,1.1
381,2025-06-13,Copper River Area,CRS,0.2
382,2025-06-13,Delta Area,DAS,0.6
383,2025-06-13,Fairbanks Area,FAS,12.34
384,2025-06-13,Galena Zone,GAD,34.68
385,2025-06-13,Kenai-Kodiak Area,KKS,5.99
386,2025-06-13,Mat-Su Area,MSS,5.07
387,2025-06-13,Military Zone,MID,1.08
388,2025-06-13,Tanana Zone,TAD,0.0137741
389,2025-06-13,Tok Area,TAS,0.1
390,2025-06-13,Tongass N.F.,TNF,0.7000000000000001
391,2025-06-13,Upper Yukon Zone,UYD,1034.94
392,2025-06-14,Chugach N.F.,CGF,1.1
393,2025-06-14,Copper River Area,CRS,0.2
394,2025-06-14,Delta Area,DAS,0.6
395,2025-06-14,Fairbanks Area,FAS,17.34
396,2025-06-14,Galena Zone,GAD,34.68
397,2025-06-14,Kenai-Kodiak Area,KKS,5.99
398,2025-06-14,Mat-Su Area,MSS,5.07
399,2025-06-14,Military Zone,MID,11.18
400,2025-06-14,Southwest Area,SWS,20.0
401,2025-06-14,Tanana Zone,TAD,0.0137741
402,2025-06-14,Tok Area,TAS,0.1
403,2025-06-14,Tongass N.F.,TNF,0.7000000000000001
404,2025-06-14,Upper Yukon Zone,UYD,1034.9399999999998
405,2025-06-15,Chugach N.F.,CGF,1.1
406,2025-06-15,Copper River Area,CRS,0.2
407,2025-06-15,Delta Area,DAS,0.6
408,2025-06-15,Fairbanks Area,FAS,17.44
409,2025-06-15,Galena Zone,GAD,54.68
410,2025-06-15,Kenai-Kodiak Area,KKS,6.19
411,2025-06-15,Mat-Su Area,MSS,5.07
412,2025-06-15,Military Zone,MID,11.18
413,2025-06-15,Southwest Area,SWS,99.5
414,2025-06-15,Tanana Zone,TAD,0.0137741
415,2025-06-15,Tok Area,TAS,0.1
416,2025-06-15,Tongass N.F.,TNF,0.7000000000000001
417,2025-06-15,Upper Yukon Zone,UYD,1034.94
418,2025-06-17,Chugach N.F.,CGF,1.1
419,2025-06-17,Copper River Area,CRS,0.2
420,2025-06-17,Delta Area,DAS,0.6
421,2025-06-17,Fairbanks Area,FAS,207.54999999999998
422,2025-06-17,Galena Zone,GAD,452.1
423,2025-06-17,Kenai-Kodiak Area,KKS,6.69
424,2025-06-17,Mat-Su Area,MSS,5.07
425,2025-06-17,Military Zone,MID,11.280000000000001
426,2025-06-17,Southwest Area,SWS,1654.0
427,2025-06-17,Tanana Zone,TAD,1.6137741
428,2025-06-17,Tok Area,TAS,0.1
429,2025-06-17,Tongass N.F.,TNF,0.7000000000000001
430,2025-06-17,Upper Yukon Zone,UYD,1092.84
431,2025-06-18,Chugach N.F.,CGF,1.1
432,2025-06-18,Copper River Area,CRS,0.2
433,2025-06-18,Delta Area,DAS,0.6
434,2025-06-18,Fairbanks Area,FAS,452.65
435,2025-06-18,Galena Zone,GAD,4338.83
436,2025-06-18,Kenai-Kodiak Area,KKS,6.69
437,2025-06-18,Mat-Su Area,MSS,5.17
438,2025-06-18,Military Zone,MID,77.68
439,2025-06-18,Southwest Area,SWS,2920.86
440,2025-06-18,Tanana Zone,TAD,6060.8137741
441,2025-06-18,Tok Area,TAS,415.1
442,2025-06-18,Tongass N.F.,TNF,0.7000000000000001
443,2025-06-18,Upper Yukon Zone,UYD,1197.94
444,2025-06-19,Chugach N.F.,CGF,1.2
445,2025-06-19,Copper River Area,CRS,70.19999999999999
446,2025-06-19,Delta Area,DAS,478.6
447,2025-06-19,Fairbanks Area,FAS,1105.85
448,2025-06-19,Galena Zone,GAD,6961.05
449,2025-06-19,Kenai-Kodiak Area,KKS,6.69
450,2025-06-19,Mat-Su Area,MSS,5.17
451,2025-06-19,Military Zone,MID,377.68
452,2025-06-19,Southwest Area,SWS,2947.1600000000003
453,2025-06-19,Tanana Zone,TAD,6258.0637741
454,2025-06-19,Tok Area,TAS,413.90000000000003
455,2025-06-19,Tongass N.F.,TNF,0.7000000000000001
456,2025-06-19,Upper Yukon Zone,UYD,2280.49
457,2025-06-20,Chugach N.F.,CGF,1.2000000000000002
458,2025-06-20,Copper River Area,CRS,775.2
459,2025-06-20,Delta Area,DAS,2159.6099999999997
460,2025-06-20,Fairbanks Area,FAS,8180.18
461,2025-06-20,Galena Zone,GAD,10310.0
462,2025-06-20,Kenai-Kodiak Area,KKS,6.69
463,2025-06-20,Mat-Su Area,MSS,5.37
464,2025-06-20,Military Zone,MID,1084.27
465,2025-06-20,Southwest Area,SWS,3185.0600000000004
466,2025-06-20,Tanana Zone,TAD,19096.5637741
467,2025-06-20,Tok Area,TAS,6636.76
468,2025-06-20,Tongass N.F.,TNF,0.7000000000000001
469,2025-06-20,Upper Yukon Zone,UYD,7397.139999999999
470,2025-06-21,Chugach N.F.,CGF,1.2000000000000002
471,2025-06-21,Copper River Area,CRS,1157.3
472,2025-06-21,Delta Area,DAS,6725.400000000001
473,2025-06-21,Fairbanks Area,FAS,30873.28
474,2025-06-21,Galena Zone,GAD,19260.52
475,2025-06-21,Kenai-Kodiak Area,KKS,6.69
476,2025-06-21,Mat-Su Area,MSS,5.57
477,2025-06-21,Military Zone,MID,1652.6299999999999
478,2025-06-21,Southwest Area,SWS,3814.0600000000004
479,2025-06-21,Tanana Zone,TAD,20846.6637741
480,2025-06-21,Tok Area,TAS,6768.08
481,2025-06-21,Tongass N.F.,TNF,0.7000000000000001
482,2025-06-21,Upper Yukon Zone,UYD,7995.639999999999
483,2025-06-22,Chugach N.F.,CGF,1.2
484,2025-06-22,Copper River Area,CRS,3179.2
485,2025-06-22,Delta Area,DAS,16963.37
486,2025-06-22,Fairbanks Area,FAS,45985.15
487,2025-06-22,Galena Zone,GAD,25713.52
488,2025-06-22,Kenai-Kodiak Area,KKS,6.69
489,2025-06-22,Mat-Su Area,MSS,5.57
490,2025-06-22,Military Zone,MID,3810.41
491,2025-06-22,Southwest Area,SWS,3694.5600000000004
492,2025-06-22,Tanana Zone,TAD,36204.8037741
493,2025-06-22,Tok Area,TAS,26434.36
494,2025-06-22,Tongass N.F.,TNF,0.7000000000000001
495,2025-06-22,Upper Yukon Zone,UYD,22522.76
496,2025-06-23,Chugach N.F.,CGF,1.2
497,2025-06-23,Copper River Area,CRS,4198.9
498,2025-06-23,Delta Area,DAS,17058.71
499,2025-06-23,Fairbanks Area,FAS,44848.01
500,2025-06-23,Galena Zone,GAD,26056.26
501,2025-06-23,Kenai-Kodiak Area,KKS,6.69
502,2025-06-23,Mat-Su Area,MSS,5.57
503,2025-06-23,Military Zone,MID,3825.24
504,2025-06-23,Southwest Area,SWS,33458.16
505,2025-06-23,Tanana Zone,TAD,37263.033774100004
506,2025-06-23,Tok Area,TAS,43447.340000000004
507,2025-06-23,Tongass N.F.,TNF,0.7000000000000001
508,2025-06-23,Upper Yukon Zone,UYD,22622.49
509,2025-06-24,Chugach N.F.,CGF,1.2
510,2025-06-24,Copper River Area,CRS,4672.2
511,2025-06-24,Delta Area,DAS,17571.96
512,2025-06-24,Fairbanks Area,FAS,49477.62
513,2025-06-24,Galena Zone,GAD,28018.94
514,2025-06-24,Kenai-Kodiak Area,KKS,6.69
515,2025-06-24,Mat-Su Area,MSS,5.67
516,2025-06-24,Military Zone,MID,3825.24
517,2025-06-24,Southwest Area,SWS,33458.16
518,2025-06-24,Tanana Zone,TAD,43308.5437741
519,2025-06-24,Tok Area,TAS,44859.840000000004
520,2025-06-24,Tongass N.F.,TNF,0.7000000000000001
521,2025-06-24,Upper Yukon Zone,UYD,22474.65
522,2025-06-25,Chugach N.F.,CGF,1.2
523,2025-06-25,Copper River Area,CRS,4961.0
524,2025-06-25,Delta Area,DAS,17571.96
525,2025-06-25,Fairbanks Area,FAS,58154.57
526,2025-06-25,Galena Zone,GAD,29481.420000000002
